species
Acridotheres tristis_Common Myna
Halcyon smyrnensis_White-throated Kingfisher
Dicrurus macrocercus_Black Drongo
Corvus splendens_House Crow
Pycnonotus cafer_Red-vented Bulbul
Eudynamys scolopaceus_Asian Koel
Psittacula krameri_Rose-ringed Parakeet
Bubulcus ibis_Cattle Egret
Ardeola grayii_Indian Pond-Heron
Prinia socialis_Ashy Prinia
Corvus macrorhynchos_Large-billed Crow
Orthotomus sutorius_Common Tailorbird
Merops orientalis_Green Bee-eater
Leptocoma zeylonica_Purple-rumped Sunbird
Argya affinis_Yellow-billed Babbler
Hirundo rustica_Barn Swallow
Centropus sinensis_Greater Coucal
Cinnyris asiaticus_Purple Sunbird
Microcarbo niger_Little Cormorant
Vanellus indicus_Red-wattled Lapwing
Columba livia_Rock Pigeon
Streptopelia chinensis_Spotted Dove
Pycnonotus luteolus_White-browed Bulbul
Egretta garzetta_Little Egret
Ortygornis pondicerianus_Gray Francolin
Copsychus fulicatus_Indian Robin
Acrocephalus dumetorum_Blyth's Reed Warbler
Merops philippinus_Blue-tailed Bee-eater
Saxicola caprata_Pied Bushchat
Motacilla maderaspatensis_White-browed Wagtail
Streptopelia senegalensis_Laughing Dove
Cypsiurus balasiensis_Asian Palm-Swift
Lonchura punctulata_Scaly-breasted Munia
Prinia inornata_Plain Prinia
Milvus migrans_Black Kite
Coracias benghalensis_Indian Roller
Accipiter badius_Shikra
Psilopogon haemacephalus_Coppersmith Barbet
Oriolus kundoo_Indian Golden Oriole
Pavo cristatus_Indian Peafowl
Aegithina tiphia_Common Iora
Passer domesticus_House Sparrow
Anastomus oscitans_Asian Openbill
Actitis hypoleucos_Common Sandpiper
Euodice malabarica_Indian Silverbill
Sturnia pagodarum_Brahminy Starling
Ardea cinerea_Gray Heron
Mycteria leucocephala_Painted Stork
Dendrocitta vagabunda_Rufous Treepie
Hierococcyx varius_Common Hawk-Cuckoo
Anas poecilorhyncha_Indian Spot-billed Duck
Streptopelia decaocto_Eurasian Collared-Dove
Himantopus himantopus_Black-winged Stilt
Copsychus saularis_Oriental Magpie-Robin
Ardea intermedia_Intermediate Egret
Amaurornis phoenicurus_White-breasted Waterhen
Ploceus philippinus_Baya Weaver
Tachybaptus ruficollis_Little Grebe
Tringa glareola_Wood Sandpiper
Threskiornis melanocephalus_Black-headed Ibis
Terpsiphone paradisi_Indian Paradise-Flycatcher
Cecropis daurica_Red-rumped Swallow
Anthus rufulus_Paddyfield Pipit
Fulica atra_Eurasian Coot
Athene brama_Spotted Owlet
Pycnonotus jocosus_Red-whiskered Bulbul
Dicaeum erythrorhynchos_Pale-billed Flowerpecker
Upupa epops_Eurasian Hoopoe
Eremopterix griseus_Ashy-crowned Sparrow-Lark
Charadrius dubius_Little Ringed Plover
Lanius cristatus_Brown Shrike
Ardea purpurea_Purple Heron
Dinopium benghalense_Black-rumped Flameback
Phylloscopus trochiloides_Greenish Warbler
Phalacrocorax carbo_Great Cormorant
Dicrurus leucophaeus_Ashy Drongo
Ceryle rudis_Pied Kingfisher
Chlidonias hybrida_Whiskered Tern
Prinia sylvatica_Jungle Prinia
Porphyrio poliocephalus_Gray-headed Swamphen
Mirafra affinis_Jerdon's Bushlark
Gallinula chloropus_Eurasian Moorhen
Clamator jacobinus_Pied Cuckoo
Apus affinis_Little Swift
Lanius vittatus_Bay-backed Shrike
Haliastur indus_Brahminy Kite
Motacilla cinerea_Gray Wagtail
Iduna caligata_Booted Warbler
Elanus caeruleus_Black-winged Kite
Alcedo atthis_Common Kingfisher
Ardea alba_Great Egret
Dendrocygna javanica_Lesser Whistling-Duck
Motacilla flava_Western Yellow Wagtail
Lonchura malacca_Tricolored Munia
Tringa nebularia_Common Greenshank
Pericrocotus cinnamomeus_Small Minivet
Plegadis falcinellus_Glossy Ibis
Pastor roseus_Rosy Starling
Tringa ochropus_Green Sandpiper
Cisticola juncidis_Zitting Cisticola
Argya malcolmi_Large Gray Babbler
Circus aeruginosus_Eurasian Marsh-Harrier
Sterna aurantia_River Tern
Vanellus malabaricus_Yellow-wattled Lapwing
Anhinga melanogaster_Oriental Darter
Muscicapa dauurica_Asian Brown Flycatcher
Falco tinnunculus_Eurasian Kestrel
Artamus fuscus_Ashy Woodswallow
Charadrius alexandrinus_Kentish Plover
Anas acuta_Northern Pintail
Nycticorax nycticorax_Black-crowned Night-Heron
Cinnyris lotenius_Loten's Sunbird
Limosa limosa_Black-tailed Godwit
Phaenicophaeus viridirostris_Blue-faced Malkoha
Tringa stagnatilis_Marsh Sandpiper
Tringa totanus_Common Redshank
Sturnia malabarica_Chestnut-tailed Starling
Calidris minuta_Little Stint
Psittacula cyanocephala_Plum-headed Parakeet
Pluvialis fulva_Pacific Golden-Plover
Pseudibis papillosa_Red-naped Ibis
Butastur teesa_White-eyed Buzzard
Lalage melanoptera_Black-headed Cuckooshrike
Dumetia hyperythra_Tawny-bellied Babbler
Hydrophasianus chirurgus_Pheasant-tailed Jacana
Spatula clypeata_Northern Shoveler
Ammomanes phoenicura_Rufous-tailed Lark
Pitta brachyura_Indian Pitta
Turnix suscitator_Barred Buttonquail
Pernis ptilorhynchus_Oriental Honey-buzzard
Motacilla alba_White Wagtail
Platalea leucorodia_Eurasian Spoonbill
Streptopelia tranquebarica_Red Collared-Dove
Gallus sonneratii_Gray Junglefowl
Hydroprogne caspia_Caspian Tern
Lonchura striata_White-rumped Munia
Tephrodornis pondicerianus_Common Woodshrike
Cacomantis passerinus_Gray-bellied Cuckoo
Ixobrychus sinensis_Yellow Bittern
Lanius schach_Long-tailed Shrike
Circus macrourus_Pallid Harrier
Caprimulgus asiaticus_Indian Nightjar
Chroicocephalus brunnicephalus_Brown-headed Gull
Burhinus indicus_Indian Thick-knee
Gelochelidon nilotica_Gull-billed Tern
Chrysomma sinense_Yellow-eyed Babbler
Calidris temminckii_Temminck's Stint
Cyornis tickelliae_Tickell's Blue Flycatcher
Iduna rama_Sykes's Warbler
Spatula querquedula_Garganey
Anthus godlewskii_Blyth's Pipit
Egretta gularis_Western Reef-Heron
Chloropsis aurifrons_Golden-fronted Leafbird
Nettapus coromandelianus_Cotton Pygmy-Goose
Acrocephalus stentoreus_Clamorous Reed Warbler
Ocyceros birostris_Indian Gray Hornbill
Phylloscopus nitidus_Green Warbler
Alauda gulgula_Oriental Skylark
Chloropsis jerdoni_Jerdon's Leafbird
Prinia hodgsonii_Gray-breasted Prinia
Monticola cinclorhyncha_Blue-capped Rock-Thrush
Hirundo smithii_Wire-tailed Swallow
Petrochelidon fluvicola_Streak-throated Swallow
Numenius phaeopus_Whimbrel
Parus cinereus_Cinereous Tit
Ploceus manyar_Streaked Weaver
Amandava amandava_Red Avadavat
Chroicocephalus ridibundus_Black-headed Gull
Dicaeum agile_Thick-billed Flowerpecker
Zosterops palpebrosus_Indian White-eye
Ficedula albicilla_Taiga Flycatcher
Glareola lactea_Small Pratincole
Charadrius mongolus_Lesser Sand-Plover
Circaetus gallicus_Short-toed Snake-Eagle
Acridotheres fuscus_Jungle Myna
Calidris pugnax_Ruff
Sternula albifrons_Little Tern
