"","scientific_name","Family1","Order1","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Inference","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Range.Size","common_name"
"1","Accipiter badius","Accipitridae","Accipitriformes",20.6,12.1,8.8,11.6,43,186.7,62.5,127.4,32.9,140.6,131.2,"NO","Shrubland",2,3,"Carnivore","Vertivore","Insessorial",22374973,"Shikra"
"2","Accipiter nisus","Accipitridae","Accipitriformes",19.6,11.4,8.4,10,53.6,207.4,74.2,134.3,35.5,155.5,220.8,"NO","Forest",1,2,"Carnivore","Vertivore","Insessorial",23601609.31,"Eurasian Sparrowhawk"
"3","Butastur teesa","Accipitridae","Accipitriformes",30.6,18,10.7,13.8,60.4,295.4,132,165,44.5,191,325,"NO","Woodland",3,1,"Carnivore","Vertivore","Insessorial",3969936.2,"White-eyed Buzzard"
"4","Circaetus gallicus","Accipitridae","Accipitriformes",47,35,15.5,24.6,90.9,537,216.8,320.2,40.5,280.4,1699.1,"NO","Woodland",3,3,"Carnivore","Vertivore","Aerial",12695589.93,"Short-toed Snake-Eagle"
"5","Circus aeruginosus","Accipitridae","Accipitriformes",37.3,20.2,11.9,16.2,79.3,405.7,185.3,221.2,45.6,233.9,704.1,"NO","Wetland",3,2,"Carnivore","Vertivore","Aerial",13390803.81,"Eurasian Marsh-Harrier"
"6","Circus macrourus","Accipitridae","Accipitriformes",29.5,15,9.7,12.7,68,351.2,185,168.4,52.4,226.6,384.4,"NO","Grassland",3,3,"Carnivore","Vertivore","Aerial",6168290.72,"Pallid Harrier"
"7","Clanga clanga","Accipitridae","Accipitriformes",50.2,31.2,15.6,23.2,96.8,510.6,192.2,314.8,37.9,261.4,2154.3,"NO","Wetland",3,3,"Carnivore","Vertivore","Generalist",8980278.98,"Greater Spotted Eagle"
"8","Elanus caeruleus","Accipitridae","Accipitriformes",30.9,16,9.2,11.3,32.1,286.3,132.1,160.2,45.2,127.7,259.8,"NO","Grassland",3,2,"Carnivore","Vertivore","Aerial",26685941.8,"Black-winged Kite"
"9","Hieraaetus pennatus","Accipitridae","Accipitriformes",33.8,19.1,10.1,17,65.3,361.8,151.3,209.1,42,198,823.8,"NO","Forest",1,3,"Carnivore","Vertivore","Generalist",6138248.03,"Booted Eagle"
"10","Milvus migrans","Accipitridae","Accipitriformes",40,22.4,13,17.4,51.4,457.4,219.9,237.5,48.1,269.5,734.1,"NO","Woodland",3,3,"Omnivore","Omnivore","Aerial",59168603.49,"Black Kite"
"11","Nisaetus cirrhatus","Accipitridae","Accipitriformes",49.9,25.8,12.6,21.7,97.7,414.6,115.8,298.5,27.9,289.8,1475.1,"NO","Forest",1,1,"Carnivore","Vertivore","Insessorial",4408300.11,"Changeable Hawk-Eagle"
"12","Spilornis cheela","Accipitridae","Accipitriformes",45.6,30.1,14.4,20.8,82.2,373.7,112.6,261.1,30.1,237.4,597.7,"NO","Forest",1,1,"Carnivore","Vertivore","Insessorial",6837152.16,"Crested Serpent-Eagle"
