"","selection","view","channel","begin_time","end_time","low_freq","high_freq","common_name","species_code","confidence","site_code","date","time","file_offset"
"1",1,"Spectrogram 1",1,36,39,0,15000,"Gray Heron","graher1",0.438,"DEL01A","20211212","143000",36
"2",1,"Spectrogram 1",1,36,39,0,15000,"Gray Heron","graher1",0.438,"DEL01A","20211212","143000",36
"3",1,"Spectrogram 1",1,30,33,0,15000,"Rose-ringed Parakeet","rorpar",0.4594,"DEL01A","20211212","153000",30
"4",1,"Spectrogram 1",1,30,33,0,15000,"Rose-ringed Parakeet","rorpar",0.4594,"DEL01A","20211212","153000",30
"5",2,"Spectrogram 1",1,90,93,0,15000,"Rose-ringed Parakeet","rorpar",0.9255,"DEL01A","20211212","153000",90
"6",2,"Spectrogram 1",1,90,93,0,15000,"Rose-ringed Parakeet","rorpar",0.9255,"DEL01A","20211212","153000",90
"7",3,"Spectrogram 1",1,174,177,0,15000,"Rose-ringed Parakeet","rorpar",0.7938,"DEL01A","20211212","153000",174
"8",3,"Spectrogram 1",1,174,177,0,15000,"Rose-ringed Parakeet","rorpar",0.7938,"DEL01A","20211212","153000",174
"9",4,"Spectrogram 1",1,231,234,0,15000,"House Crow","houcro1",0.3245,"DEL01A","20211212","153000",231
"10",4,"Spectrogram 1",1,231,234,0,15000,"House Crow","houcro1",0.3245,"DEL01A","20211212","153000",231
"11",1,"Spectrogram 1",1,111,114,0,15000,"Rose-ringed Parakeet","rorpar",0.766,"DEL01A","20211212","163000",111
"12",1,"Spectrogram 1",1,111,114,0,15000,"Rose-ringed Parakeet","rorpar",0.766,"DEL01A","20211212","163000",111
"13",2,"Spectrogram 1",1,135,138,0,15000,"Rose-ringed Parakeet","rorpar",0.6511,"DEL01A","20211212","163000",135
"14",2,"Spectrogram 1",1,135,138,0,15000,"Rose-ringed Parakeet","rorpar",0.6511,"DEL01A","20211212","163000",135
"15",3,"Spectrogram 1",1,147,150,0,15000,"Rose-ringed Parakeet","rorpar",0.7111,"DEL01A","20211212","163000",147
"16",3,"Spectrogram 1",1,147,150,0,15000,"Rose-ringed Parakeet","rorpar",0.7111,"DEL01A","20211212","163000",147
"17",4,"Spectrogram 1",1,150,153,0,15000,"Rose-ringed Parakeet","rorpar",0.2979,"DEL01A","20211212","163000",150
"18",4,"Spectrogram 1",1,150,153,0,15000,"Rose-ringed Parakeet","rorpar",0.2979,"DEL01A","20211212","163000",150
"19",5,"Spectrogram 1",1,162,165,0,15000,"Rose-ringed Parakeet","rorpar",0.852,"DEL01A","20211212","163000",162
"20",5,"Spectrogram 1",1,162,165,0,15000,"Rose-ringed Parakeet","rorpar",0.852,"DEL01A","20211212","163000",162
"21",6,"Spectrogram 1",1,234,237,0,15000,"Rose-ringed Parakeet","rorpar",0.6493,"DEL01A","20211212","163000",234
"22",6,"Spectrogram 1",1,234,237,0,15000,"Rose-ringed Parakeet","rorpar",0.6493,"DEL01A","20211212","163000",234
"23",1,"Spectrogram 1",1,222,225,0,15000,"House Crow","houcro1",0.3177,"DEL01A","20211212","173000",222
"24",1,"Spectrogram 1",1,222,225,0,15000,"House Crow","houcro1",0.3177,"DEL01A","20211212","173000",222
"25",2,"Spectrogram 1",1,276,279,0,15000,"House Crow","houcro1",0.5788,"DEL01A","20211212","173000",276
"26",2,"Spectrogram 1",1,276,279,0,15000,"House Crow","houcro1",0.5788,"DEL01A","20211212","173000",276
"27",3,"Spectrogram 1",1,279,282,0,15000,"House Crow","houcro1",0.3351,"DEL01A","20211212","173000",279
"28",3,"Spectrogram 1",1,279,282,0,15000,"House Crow","houcro1",0.3351,"DEL01A","20211212","173000",279
"29",1,"Spectrogram 1",1,66,69,0,15000,"Ruddy Shelduck","rudshe",0.3462,"DEL01A","20211212","193000",66
"30",1,"Spectrogram 1",1,66,69,0,15000,"Ruddy Shelduck","rudshe",0.3462,"DEL01A","20211212","193000",66
"31",2,"Spectrogram 1",1,144,147,0,15000,"Gray Heron","graher1",0.6728,"DEL01A","20211212","193000",144
"32",2,"Spectrogram 1",1,144,147,0,15000,"Gray Heron","graher1",0.6728,"DEL01A","20211212","193000",144
"33",1,"Spectrogram 1",1,279,282,0,15000,"Green-winged Teal","gnwtea",0.2833,"DEL01A","20211212","223000",279
"34",1,"Spectrogram 1",1,279,282,0,15000,"Green-winged Teal","gnwtea",0.2833,"DEL01A","20211212","223000",279
"35",1,"Spectrogram 1",1,0,3,0,15000,"Gray Heron","graher1",0.3697,"DEL01A","20211213","010000",0
"36",1,"Spectrogram 1",1,0,3,0,15000,"Gray Heron","graher1",0.3697,"DEL01A","20211213","010000",0
"37",1,"Spectrogram 1",1,198,201,0,15000,"Alpine Swift","alpswi1",0.6353,"DEL01A","20211213","040000",198
"38",1,"Spectrogram 1",1,198,201,0,15000,"Alpine Swift","alpswi1",0.6353,"DEL01A","20211213","040000",198
"39",2,"Spectrogram 1",1,234,237,0,15000,"Alpine Swift","alpswi1",0.5101,"DEL01A","20211213","040000",234
"40",2,"Spectrogram 1",1,234,237,0,15000,"Alpine Swift","alpswi1",0.5101,"DEL01A","20211213","040000",234
"41",3,"Spectrogram 1",1,237,240,0,15000,"Alpine Swift","alpswi1",0.2801,"DEL01A","20211213","040000",237
"42",3,"Spectrogram 1",1,237,240,0,15000,"Alpine Swift","alpswi1",0.2801,"DEL01A","20211213","040000",237
"43",1,"Spectrogram 1",1,30,33,0,15000,"House Crow","houcro1",0.3755,"DEL01A","20211213","063000",30
"44",1,"Spectrogram 1",1,30,33,0,15000,"House Crow","houcro1",0.3755,"DEL01A","20211213","063000",30
"45",2,"Spectrogram 1",1,81,84,0,15000,"Alpine Swift","alpswi1",0.3372,"DEL01A","20211213","063000",81
"46",2,"Spectrogram 1",1,81,84,0,15000,"Alpine Swift","alpswi1",0.3372,"DEL01A","20211213","063000",81
"47",3,"Spectrogram 1",1,174,177,0,15000,"Alpine Swift","alpswi1",0.2565,"DEL01A","20211213","063000",174
"48",3,"Spectrogram 1",1,174,177,0,15000,"Alpine Swift","alpswi1",0.2565,"DEL01A","20211213","063000",174
"49",1,"Spectrogram 1",1,24,27,0,15000,"Rose-ringed Parakeet","rorpar",0.6449,"DEL01A","20211213","073000",24
"50",1,"Spectrogram 1",1,24,27,0,15000,"Rose-ringed Parakeet","rorpar",0.6449,"DEL01A","20211213","073000",24
"51",2,"Spectrogram 1",1,27,30,0,15000,"Rose-ringed Parakeet","rorpar",0.43,"DEL01A","20211213","073000",27
"52",2,"Spectrogram 1",1,27,30,0,15000,"Rose-ringed Parakeet","rorpar",0.43,"DEL01A","20211213","073000",27
"53",3,"Spectrogram 1",1,93,96,0,15000,"Asian Koel","asikoe2",0.9545,"DEL01A","20211213","073000",93
"54",3,"Spectrogram 1",1,93,96,0,15000,"Asian Koel","asikoe2",0.9545,"DEL01A","20211213","073000",93
"55",4,"Spectrogram 1",1,105,108,0,15000,"Rose-ringed Parakeet","rorpar",0.3176,"DEL01A","20211213","073000",105
"56",4,"Spectrogram 1",1,105,108,0,15000,"Rose-ringed Parakeet","rorpar",0.3176,"DEL01A","20211213","073000",105
"57",5,"Spectrogram 1",1,108,111,0,15000,"Rose-ringed Parakeet","rorpar",0.575,"DEL01A","20211213","073000",108
"58",5,"Spectrogram 1",1,108,111,0,15000,"Rose-ringed Parakeet","rorpar",0.575,"DEL01A","20211213","073000",108
"59",6,"Spectrogram 1",1,111,114,0,15000,"Rose-ringed Parakeet","rorpar",0.2658,"DEL01A","20211213","073000",111
"60",6,"Spectrogram 1",1,111,114,0,15000,"Rose-ringed Parakeet","rorpar",0.2658,"DEL01A","20211213","073000",111
"61",7,"Spectrogram 1",1,120,123,0,15000,"Common Myna","commyn",0.2538,"DEL01A","20211213","073000",120
"62",7,"Spectrogram 1",1,120,123,0,15000,"Common Myna","commyn",0.2538,"DEL01A","20211213","073000",120
"63",8,"Spectrogram 1",1,132,135,0,15000,"Common Myna","commyn",0.6578,"DEL01A","20211213","073000",132
"64",8,"Spectrogram 1",1,132,135,0,15000,"Common Myna","commyn",0.6578,"DEL01A","20211213","073000",132
"65",9,"Spectrogram 1",1,147,150,0,15000,"Common Myna","commyn",0.5728,"DEL01A","20211213","073000",147
"66",9,"Spectrogram 1",1,147,150,0,15000,"Common Myna","commyn",0.5728,"DEL01A","20211213","073000",147
"67",10,"Spectrogram 1",1,207,210,0,15000,"Common Myna","commyn",0.5165,"DEL01A","20211213","073000",207
"68",10,"Spectrogram 1",1,207,210,0,15000,"Common Myna","commyn",0.5165,"DEL01A","20211213","073000",207
"69",11,"Spectrogram 1",1,234,237,0,15000,"Common Myna","commyn",0.7389,"DEL01A","20211213","073000",234
"70",11,"Spectrogram 1",1,234,237,0,15000,"Common Myna","commyn",0.7389,"DEL01A","20211213","073000",234
"71",1,"Spectrogram 1",1,0,3,0,15000,"Common Myna","commyn",0.6577,"DEL01A","20211213","083000",0
"72",1,"Spectrogram 1",1,0,3,0,15000,"Common Myna","commyn",0.6577,"DEL01A","20211213","083000",0
"73",2,"Spectrogram 1",1,3,6,0,15000,"Common Myna","commyn",0.4907,"DEL01A","20211213","083000",3
"74",2,"Spectrogram 1",1,3,6,0,15000,"Common Myna","commyn",0.4907,"DEL01A","20211213","083000",3
"75",3,"Spectrogram 1",1,27,30,0,15000,"House Crow","houcro1",0.7857,"DEL01A","20211213","083000",27
"76",3,"Spectrogram 1",1,27,30,0,15000,"House Crow","houcro1",0.7857,"DEL01A","20211213","083000",27
"77",4,"Spectrogram 1",1,39,42,0,15000,"House Crow","houcro1",0.4114,"DEL01A","20211213","083000",39
"78",4,"Spectrogram 1",1,39,42,0,15000,"House Crow","houcro1",0.4114,"DEL01A","20211213","083000",39
"79",5,"Spectrogram 1",1,72,75,0,15000,"House Crow","houcro1",0.6943,"DEL01A","20211213","083000",72
"80",5,"Spectrogram 1",1,72,75,0,15000,"House Crow","houcro1",0.6943,"DEL01A","20211213","083000",72
"81",6,"Spectrogram 1",1,87,90,0,15000,"House Crow","houcro1",0.6054,"DEL01A","20211213","083000",87
"82",6,"Spectrogram 1",1,87,90,0,15000,"House Crow","houcro1",0.6054,"DEL01A","20211213","083000",87
"83",7,"Spectrogram 1",1,90,93,0,15000,"House Crow","houcro1",0.6709,"DEL01A","20211213","083000",90
"84",7,"Spectrogram 1",1,90,93,0,15000,"House Crow","houcro1",0.6709,"DEL01A","20211213","083000",90
"85",8,"Spectrogram 1",1,111,114,0,15000,"House Crow","houcro1",0.6054,"DEL01A","20211213","083000",111
"86",8,"Spectrogram 1",1,111,114,0,15000,"House Crow","houcro1",0.6054,"DEL01A","20211213","083000",111
"87",9,"Spectrogram 1",1,114,117,0,15000,"House Crow","houcro1",0.5473,"DEL01A","20211213","083000",114
"88",9,"Spectrogram 1",1,114,117,0,15000,"House Crow","houcro1",0.5473,"DEL01A","20211213","083000",114
"89",10,"Spectrogram 1",1,195,198,0,15000,"House Crow","houcro1",0.4396,"DEL01A","20211213","083000",195
"90",10,"Spectrogram 1",1,195,198,0,15000,"House Crow","houcro1",0.4396,"DEL01A","20211213","083000",195
"91",11,"Spectrogram 1",1,210,213,0,15000,"House Crow","houcro1",0.794,"DEL01A","20211213","083000",210
"92",11,"Spectrogram 1",1,210,213,0,15000,"House Crow","houcro1",0.794,"DEL01A","20211213","083000",210
"93",12,"Spectrogram 1",1,216,219,0,15000,"House Crow","houcro1",0.6061,"DEL01A","20211213","083000",216
"94",12,"Spectrogram 1",1,216,219,0,15000,"House Crow","houcro1",0.6061,"DEL01A","20211213","083000",216
"95",13,"Spectrogram 1",1,246,249,0,15000,"House Crow","houcro1",0.3618,"DEL01A","20211213","083000",246
"96",13,"Spectrogram 1",1,246,249,0,15000,"House Crow","houcro1",0.3618,"DEL01A","20211213","083000",246
"97",1,"Spectrogram 1",1,78,81,0,15000,"House Crow","houcro1",0.4135,"DEL01A","20211213","093000",78
"98",1,"Spectrogram 1",1,78,81,0,15000,"House Crow","houcro1",0.4135,"DEL01A","20211213","093000",78
"99",2,"Spectrogram 1",1,126,129,0,15000,"House Crow","houcro1",0.5031,"DEL01A","20211213","093000",126
"100",2,"Spectrogram 1",1,126,129,0,15000,"House Crow","houcro1",0.5031,"DEL01A","20211213","093000",126
"101",3,"Spectrogram 1",1,135,138,0,15000,"Common Myna","commyn",0.2582,"DEL01A","20211213","093000",135
"102",3,"Spectrogram 1",1,135,138,0,15000,"Common Myna","commyn",0.2582,"DEL01A","20211213","093000",135
"103",4,"Spectrogram 1",1,150,153,0,15000,"Common Myna","commyn",0.4099,"DEL01A","20211213","093000",150
"104",4,"Spectrogram 1",1,150,153,0,15000,"Common Myna","commyn",0.4099,"DEL01A","20211213","093000",150
"105",5,"Spectrogram 1",1,186,189,0,15000,"Common Myna","commyn",0.4889,"DEL01A","20211213","093000",186
"106",5,"Spectrogram 1",1,186,189,0,15000,"Common Myna","commyn",0.4889,"DEL01A","20211213","093000",186
"107",6,"Spectrogram 1",1,234,237,0,15000,"House Crow","houcro1",0.2655,"DEL01A","20211213","093000",234
"108",6,"Spectrogram 1",1,234,237,0,15000,"House Crow","houcro1",0.2655,"DEL01A","20211213","093000",234
"109",7,"Spectrogram 1",1,234,237,0,15000,"White-browed Wagtail","whbwag1",0.2528,"DEL01A","20211213","093000",234
"110",7,"Spectrogram 1",1,234,237,0,15000,"White-browed Wagtail","whbwag1",0.2528,"DEL01A","20211213","093000",234
"111",8,"Spectrogram 1",1,240,243,0,15000,"Rose-ringed Parakeet","rorpar",0.5924,"DEL01A","20211213","093000",240
"112",8,"Spectrogram 1",1,240,243,0,15000,"Rose-ringed Parakeet","rorpar",0.5924,"DEL01A","20211213","093000",240
"113",9,"Spectrogram 1",1,246,249,0,15000,"Rose-ringed Parakeet","rorpar",0.5963,"DEL01A","20211213","093000",246
"114",9,"Spectrogram 1",1,246,249,0,15000,"Rose-ringed Parakeet","rorpar",0.5963,"DEL01A","20211213","093000",246
"115",10,"Spectrogram 1",1,255,258,0,15000,"Common Myna","commyn",0.7564,"DEL01A","20211213","093000",255
"116",10,"Spectrogram 1",1,255,258,0,15000,"Common Myna","commyn",0.7564,"DEL01A","20211213","093000",255
"117",11,"Spectrogram 1",1,276,279,0,15000,"House Crow","houcro1",0.4005,"DEL01A","20211213","093000",276
"118",11,"Spectrogram 1",1,276,279,0,15000,"House Crow","houcro1",0.4005,"DEL01A","20211213","093000",276
"119",1,"Spectrogram 1",1,30,33,0,15000,"House Crow","houcro1",0.7008,"DEL01A","20211213","103000",30
"120",1,"Spectrogram 1",1,30,33,0,15000,"House Crow","houcro1",0.7008,"DEL01A","20211213","103000",30
"121",2,"Spectrogram 1",1,36,39,0,15000,"House Crow","houcro1",0.6411,"DEL01A","20211213","103000",36
"122",2,"Spectrogram 1",1,36,39,0,15000,"House Crow","houcro1",0.6411,"DEL01A","20211213","103000",36
"123",3,"Spectrogram 1",1,42,45,0,15000,"Common Myna","commyn",0.4443,"DEL01A","20211213","103000",42
